SignUpId,CreditCard,Age,Gender,RegionCode,DeviceType,NoOfDevicesUsed,HoursPerDay,isPremiumserviceUsed,keyPress,NoShowsWatched,EoFEvents,EmptySearchResults,Wifi/MobileData,WatchSession,RecommendationSuccess,ExtenstionofTrails,GlobalEvent,DetectedMAC,ProfiledAge,WeekOfMonth,MostActiveTimeofDayForDataUsage,VPN,DownloadHistory,NoConnectedDevicesinHome,CostOfDevices,BoughtMembership
bbe3fa98-0f6c-11eb-b477-186590d21c4d,1,45,2,1000,1,2,8,0,487,3,8,4,2,2,7,1,1,bbe4006a-0f6c-11eb-b477-186590d21c4d,1,3,4,0,3,23,1856522,1
bbe51770-0f6c-11eb-b477-186590d21c4d,1,40,2,1004,1,4,5,1,710,9,1,3,2,4,11,1,1,bbe51c7a-0f6c-11eb-b477-186590d21c4d,1,3,1,0,3,71,955483,1
bbe6313c-0f6c-11eb-b477-186590d21c4d,3,45,1,1000,5,5,11,1,849,8,8,1,2,4,7,0,1,bbe63704-0f6c-11eb-b477-186590d21c4d,1,4,4,0,1,99,912528,0
bbe73b4a-0f6c-11eb-b477-186590d21c4d,1,84,1,1004,3,5,17,1,346,1,8,3,2,4,11,3,1,bbe7407c-0f6c-11eb-b477-186590d21c4d,1,2,2,0,2,66,877746,0
bbe85124-0f6c-11eb-b477-186590d21c4d,1,24,2,1005,5,5,9,1,756,6,5,1,2,3,7,1,1,bbe857d2-0f6c-11eb-b477-186590d21c4d,1,3,4,0,1,76,1782479,1
bbe9801c-0f6c-11eb-b477-186590d21c4d,3,65,2,1004,2,1,2,1,767,4,8,2,2,1,2,2,1,bbe985b2-0f6c-11eb-b477-186590d21c4d,1,2,1,1,3,44,567543,0
bbea96e6-0f6c-11eb-b477-186590d21c4d,1,48,2,1003,3,5,14,1,286,4,8,4,1,4,4,0,1,bbea9c54-0f6c-11eb-b477-186590d21c4d,1,1,3,1,4,84,1437184,0
bbebae64-0f6c-11eb-b477-186590d21c4d,0,18,1,1007,4,3,2,1,596,2,1,2,2,2,7,1,1,bbebb332-0f6c-11eb-b477-186590d21c4d,1,3,3,1,3,34,1037751,1
bbecbde0-0f6c-11eb-b477-186590d21c4d,3,49,1,1006,2,2,15,0,734,1,8,3,1,3,5,1,0,bbecc308-0f6c-11eb-b477-186590d21c4d,1,3,4,0,4,21,84557,0
bbedc730-0f6c-11eb-b477-186590d21c4d,1,85,2,1000,5,5,15,0,241,7,8,4,2,2,14,1,1,bbedcbae-0f6c-11eb-b477-186590d21c4d,1,3,2,1,1,28,308425,1
bbeed3fa-0f6c-11eb-b477-186590d21c4d,2,24,2,1008,1,5,7,1,603,4,9,1,2,2,4,0,0,bbeed9a4-0f6c-11eb-b477-186590d21c4d,1,1,2,1,0,86,713351,0
bbefdcf0-0f6c-11eb-b477-186590d21c4d,1,38,2,1007,3,2,16,0,556,3,4,3,2,3,2,0,1,bbefe1dc-0f6c-11eb-b477-186590d21c4d,1,3,2,1,4,91,1112692,1
bbf0f4fa-0f6c-11eb-b477-186590d21c4d,2,42,1,1004,2,5,13,0,251,3,8,1,2,2,3,1,0,bbf0fa68-0f6c-11eb-b477-186590d21c4d,1,2,2,1,0,74,1856609,0
bbf20bb0-0f6c-11eb-b477-186590d21c4d,3,92,2,1005,5,5,11,1,487,6,8,1,1,2,9,3,0,bbf210d8-0f6c-11eb-b477-186590d21c4d,1,1,2,0,0,98,1980432,0
bbf32266-0f6c-11eb-b477-186590d21c4d,1,49,2,1007,2,3,13,1,634,2,8,1,2,2,5,0,1,bbf326ee-0f6c-11eb-b477-186590d21c4d,1,3,2,1,4,58,1916256,1
bbf42bca-0f6c-11eb-b477-186590d21c4d,3,86,1,1008,4,3,15,1,734,4,8,1,1,1,6,1,0,bbf430d4-0f6c-11eb-b477-186590d21c4d,1,1,2,1,2,22,1198205,0
bbf53650-0f6c-11eb-b477-186590d21c4d,1,70,2,1007,3,4,9,1,792,3,8,3,2,4,7,1,1,bbf53aec-0f6c-11eb-b477-186590d21c4d,1,3,3,0,4,1,202101,1
bbf63e74-0f6c-11eb-b477-186590d21c4d,1,28,1,1009,1,5,9,1,497,6,7,3,1,4,14,4,0,bbf643a6-0f6c-11eb-b477-186590d21c4d,1,2,2,1,0,16,1177400,0
bbf751d8-0f6c-11eb-b477-186590d21c4d,3,43,1,1005,1,3,3,0,151,1,8,1,2,3,13,0,1,bbf75692-0f6c-11eb-b477-186590d21c4d,1,3,1,1,4,25,1369319,1
bbf87d7e-0f6c-11eb-b477-186590d21c4d,3,87,1,1004,4,5,13,1,584,8,8,1,2,4,13,0,1,bbf88256-0f6c-11eb-b477-186590d21c4d,1,3,2,1,1,60,737256,1
bbf9aa0a-0f6c-11eb-b477-186590d21c4d,2,94,1,1003,3,5,3,1,150,3,8,4,2,2,10,0,0,bbf9af6e-0f6c-11eb-b477-186590d21c4d,1,1,4,0,1,37,789630,0
bbfac034-0f6c-11eb-b477-186590d21c4d,1,70,2,1005,3,1,15,1,551,6,8,2,2,2,7,0,1,bbfac58e-0f6c-11eb-b477-186590d21c4d,1,2,3,1,1,7,1236489,0
bbfbe5ea-0f6c-11eb-b477-186590d21c4d,2,73,2,1006,1,1,16,1,433,3,8,2,2,4,14,1,1,bbfbeb1c-0f6c-11eb-b477-186590d21c4d,1,3,4,1,3,85,668552,1
bbfd2ffe-0f6c-11eb-b477-186590d21c4d,1,22,2,1006,3,4,9,1,557,1,5,4,1,3,3,2,1,bbfd36ca-0f6c-11eb-b477-186590d21c4d,1,1,1,1,3,2,593418,0
bbfe8372-0f6c-11eb-b477-186590d21c4d,2,52,2,1005,3,3,3,0,976,4,8,3,1,2,7,0,1,bbfe8958-0f6c-11eb-b477-186590d21c4d,1,2,2,0,0,25,707241,0
bc000fee-0f6c-11eb-b477-186590d21c4d,3,54,2,1000,3,4,4,0,349,3,8,4,1,4,4,3,1,bc0017aa-0f6c-11eb-b477-186590d21c4d,1,3,3,0,1,1,131065,0
bc0149ae-0f6c-11eb-b477-186590d21c4d,1,63,1,1008,5,4,10,0,847,1,8,2,2,4,11,0,1,bc014f12-0f6c-11eb-b477-186590d21c4d,1,3,4,0,3,61,1241547,1
bc027c52-0f6c-11eb-b477-186590d21c4d,2,46,2,1007,3,5,9,0,994,4,8,1,2,3,5,0,1,bc02830a-0f6c-11eb-b477-186590d21c4d,1,3,4,1,4,48,1285294,1
bc03bfcc-0f6c-11eb-b477-186590d21c4d,3,93,1,1006,3,5,9,0,794,2,8,3,2,4,7,0,1,bc03c468-0f6c-11eb-b477-186590d21c4d,1,3,4,1,2,60,526643,1
bc04e690-0f6c-11eb-b477-186590d21c4d,1,33,2,1000,1,1,15,0,885,5,8,4,2,2,13,3,1,bc04ec58-0f6c-11eb-b477-186590d21c4d,1,2,1,0,0,15,1243215,0
bc05fbca-0f6c-11eb-b477-186590d21c4d,1,57,2,1006,2,4,7,0,611,4,8,1,2,1,11,1,1,bc060174-0f6c-11eb-b477-186590d21c4d,1,2,4,0,2,7,742310,0
bc072946-0f6c-11eb-b477-186590d21c4d,2,79,2,1000,4,4,5,0,309,1,8,4,1,3,6,2,0,bc072f9a-0f6c-11eb-b477-186590d21c4d,1,2,2,1,0,25,339049,0
bc083fca-0f6c-11eb-b477-186590d21c4d,1,97,2,1009,5,5,3,0,771,4,8,3,2,4,6,1,1,bc084470-0f6c-11eb-b477-186590d21c4d,1,3,1,0,2,24,1176485,1
bc0a6750-0f6c-11eb-b477-186590d21c4d,1,62,1,1006,1,5,14,0,350,9,8,2,2,2,6,1,1,bc0a6cb4-0f6c-11eb-b477-186590d21c4d,1,1,1,0,4,2,351440,0
bc0b98fa-0f6c-11eb-b477-186590d21c4d,2,24,1,1009,1,1,18,1,688,4,6,2,2,2,1,0,1,bc0b9e7c-0f6c-11eb-b477-186590d21c4d,1,3,1,0,1,58,783501,1
bc0ccc2a-0f6c-11eb-b477-186590d21c4d,2,45,2,1000,1,4,7,1,514,2,8,2,2,1,12,1,1,bc0cd314-0f6c-11eb-b477-186590d21c4d,1,3,2,0,3,25,510406,1
bc0e7818-0f6c-11eb-b477-186590d21c4d,1,50,1,1008,5,2,18,0,194,2,8,3,2,1,9,1,0,bc0e7dd6-0f6c-11eb-b477-186590d21c4d,1,4,2,0,3,98,65380,0
bc0febd0-0f6c-11eb-b477-186590d21c4d,2,39,1,1000,2,1,18,0,399,7,3,2,2,1,9,0,1,bc0ff2e2-0f6c-11eb-b477-186590d21c4d,1,3,3,0,4,91,684181,1
bc1134cc-0f6c-11eb-b477-186590d21c4d,3,30,1,1004,3,4,16,0,304,6,4,4,1,4,2,3,0,bc113aa8-0f6c-11eb-b477-186590d21c4d,1,4,4,1,2,37,745212,0
bc12a546-0f6c-11eb-b477-186590d21c4d,2,93,1,1001,5,3,13,1,761,2,8,1,2,3,7,0,1,bc12af78-0f6c-11eb-b477-186590d21c4d,1,3,4,1,2,95,999609,1
bc146eda-0f6c-11eb-b477-186590d21c4d,3,32,1,1008,3,1,11,0,942,2,7,2,2,2,8,4,1,bc147506-0f6c-11eb-b477-186590d21c4d,1,4,3,0,4,95,1716253,0
bc15b736-0f6c-11eb-b477-186590d21c4d,3,82,2,1005,5,3,4,1,939,1,8,3,2,2,10,0,1,bc15c05a-0f6c-11eb-b477-186590d21c4d,1,3,2,0,1,88,1033280,1
bc1707f8-0f6c-11eb-b477-186590d21c4d,3,63,1,1003,1,4,6,0,506,6,8,4,1,4,10,3,0,bc170d8e-0f6c-11eb-b477-186590d21c4d,1,1,4,1,1,83,1851240,0
bc185ce8-0f6c-11eb-b477-186590d21c4d,0,13,1,1000,2,4,11,1,921,6,8,1,2,3,8,0,1,bc1863be-0f6c-11eb-b477-186590d21c4d,2,3,2,0,4,32,1855823,1
bc19af80-0f6c-11eb-b477-186590d21c4d,3,88,2,1005,5,2,14,0,261,9,8,2,2,1,13,3,0,bc19b534-0f6c-11eb-b477-186590d21c4d,1,2,2,0,2,37,539320,0
