SignUpId,CreditCard,Age,Gender,RegionCode,DeviceType,NoOfDevicesUsed,HoursPerDay,isPremiumserviceUsed,keyPress,NoShowsWatched,EoFEvents,EmptySearchResults,Wifi/MobileData,WatchSession,RecommendationSuccess,ExtenstionofTrails,GlobalEvent,DetectedMAC,ProfiledAge,WeekOfMonth,MostActiveTimeofDayForDataUsage,VPN,DownloadHistory,NoConnectedDevicesinHome,CostOfDevices,BoughtMembership
cee4dc94-0f6b-11eb-8b8c-186590d21c4d,2,94,2,1008,2,4,15,0,108,5,8,1,2,2,4,0,1,cee4e31a-0f6b-11eb-8b8c-186590d21c4d,2,3,1,0,1,55,263550,1
cee614e2-0f6b-11eb-8b8c-186590d21c4d,1,97,2,1001,2,4,19,0,504,4,8,1,2,4,11,1,1,cee619a6-0f6b-11eb-8b8c-186590d21c4d,2,3,4,0,0,39,1439346,1
cee730c0-0f6b-11eb-8b8c-186590d21c4d,1,38,2,1000,5,2,12,1,651,8,2,1,2,3,10,2,1,cee73660-0f6b-11eb-8b8c-186590d21c4d,1,4,4,0,2,83,1653518,0
cee840e6-0f6b-11eb-8b8c-186590d21c4d,2,56,2,1007,2,3,7,1,610,8,8,3,1,2,2,0,1,cee8460e-0f6b-11eb-8b8c-186590d21c4d,2,3,3,0,0,60,1155976,0
cee9489c-0f6b-11eb-8b8c-186590d21c4d,1,36,1,1001,3,2,17,1,753,3,5,4,1,4,13,4,0,cee94df6-0f6b-11eb-8b8c-186590d21c4d,0,1,1,1,3,17,953253,0
ceea5aac-0f6b-11eb-8b8c-186590d21c4d,1,89,1,1001,2,3,8,0,912,2,8,1,2,3,1,0,1,ceea5ef8-0f6b-11eb-8b8c-186590d21c4d,0,3,4,0,4,38,396594,1
ceeb66c2-0f6b-11eb-8b8c-186590d21c4d,3,79,1,1005,2,5,5,1,171,8,8,1,2,1,2,1,1,ceeb6bb8-0f6b-11eb-8b8c-186590d21c4d,1,2,1,1,1,39,40769,0
ceec7a3a-0f6b-11eb-8b8c-186590d21c4d,2,55,2,1002,2,1,1,0,653,7,8,2,1,1,1,1,0,ceec7f80-0f6b-11eb-8b8c-186590d21c4d,2,2,3,0,2,90,706888,0
ceed87e0-0f6b-11eb-8b8c-186590d21c4d,1,76,1,1004,3,5,2,0,564,9,8,3,1,2,6,2,1,ceed8d12-0f6b-11eb-8b8c-186590d21c4d,2,3,4,1,2,4,180810,0
ceee9d9c-0f6b-11eb-8b8c-186590d21c4d,2,22,1,1001,2,3,17,1,186,3,7,1,2,3,14,1,1,ceeea2f6-0f6b-11eb-8b8c-186590d21c4d,1,2,3,1,0,97,976292,0
ceefb89e-0f6b-11eb-8b8c-186590d21c4d,2,95,2,1004,3,4,3,0,420,6,8,1,1,3,5,0,1,ceefbda8-0f6b-11eb-8b8c-186590d21c4d,0,1,4,1,0,29,263379,0
cef0c374-0f6b-11eb-8b8c-186590d21c4d,2,76,2,1007,3,3,15,0,214,6,8,1,1,3,6,3,1,cef0c9aa-0f6b-11eb-8b8c-186590d21c4d,0,1,1,1,2,36,479604,0
cef1d624-0f6b-11eb-8b8c-186590d21c4d,3,24,1,1007,2,3,16,1,920,2,9,3,2,3,6,3,1,cef1dab6-0f6b-11eb-8b8c-186590d21c4d,2,3,3,1,3,37,1928210,1
cef2ddf8-0f6b-11eb-8b8c-186590d21c4d,2,88,1,1000,2,4,15,0,677,2,8,1,2,2,8,3,1,cef2e258-0f6b-11eb-8b8c-186590d21c4d,0,3,1,1,0,70,1740972,1
