SignUpId,CreditCard,Age,Gender,RegionCode,DeviceType,NoOfDevicesUsed,HoursPerDay,isPremiumserviceUsed,keyPress,NoShowsWatched,EoFEvents,EmptySearchResults,Wifi/MobileData,WatchSession,RecommendationSuccess,ExtenstionofTrails,GlobalEvent,DetectedMAC,ProfiledAge,WeekOfMonth,MostActiveTimeofDayForDataUsage,VPN,DownloadHistory,NoConnectedDevicesinHome,CostOfDevices,BoughtMembership
88a657ac-0f7b-11eb-9cec-186590d21c4d,1,89,2,1001,3,4,14,0,472,5,8,2,2,4,5,1,1,88a65df6-0f7b-11eb-9cec-186590d21c4d,1,3,1,0,4,71,361188,1
88a8337e-0f7b-11eb-9cec-186590d21c4d,1,77,1,1001,4,4,16,1,880,4,8,4,2,4,7,0,1,88a83ab8-0f7b-11eb-9cec-186590d21c4d,1,3,4,0,3,59,595461,1
88a9cd74-0f7b-11eb-9cec-186590d21c4d,2,62,2,1006,3,1,12,1,506,2,8,3,2,2,1,1,1,88a9d580-0f7b-11eb-9cec-186590d21c4d,1,3,2,0,2,49,1657994,1
88ab0ffe-0f7b-11eb-9cec-186590d21c4d,2,85,1,1008,3,3,3,0,579,8,8,1,2,1,5,1,1,88ab151c-0f7b-11eb-9cec-186590d21c4d,1,3,1,1,0,43,1946272,1
88ac39e2-0f7b-11eb-9cec-186590d21c4d,2,71,1,1007,1,1,17,0,450,4,8,2,2,3,14,4,0,88ac3f64-0f7b-11eb-9cec-186590d21c4d,1,1,3,1,2,4,410564,0
88adf7d2-0f7b-11eb-9cec-186590d21c4d,2,77,1,1001,3,1,9,0,804,6,8,2,2,1,8,0,1,88adfd90-0f7b-11eb-9cec-186590d21c4d,1,3,2,0,4,73,1886752,1
88af922c-0f7b-11eb-9cec-186590d21c4d,1,31,1,1005,1,5,11,0,192,1,7,1,1,2,3,1,1,88af9876-0f7b-11eb-9cec-186590d21c4d,1,1,1,1,3,38,770718,0
88b0c0b6-0f7b-11eb-9cec-186590d21c4d,3,59,2,1003,5,1,17,0,207,7,8,4,2,2,3,0,1,88b0c606-0f7b-11eb-9cec-186590d21c4d,1,3,4,1,2,73,149226,1
88b235b8-0f7b-11eb-9cec-186590d21c4d,3,77,1,1004,4,5,14,1,741,6,8,2,2,3,4,0,1,88b23e28-0f7b-11eb-9cec-186590d21c4d,1,4,4,0,1,57,1107472,0
88b36a64-0f7b-11eb-9cec-186590d21c4d,0,17,2,1009,3,2,4,1,263,1,1,1,1,4,4,2,0,88b36fd2-0f7b-11eb-9cec-186590d21c4d,1,3,2,0,4,27,519588,0
